Date,Open,High,Low,Close,Price_Percent_Change,Volatility,Price_Change,Gain,Loss,Avg_Gain,Avg_Loss,RS,RSI,12_Day_EMA,26_Day_EMA,MACD,MACD_Signal,MACD_Histogram,Volume,
1968-09-24,102.239998,103.209999,101.589996,102.589996,0.34%,5.42%,0.349998,0.349998,0,0.304234949,0.047092235,6.46040586,86.59590351,101.3416659,99.97807638,1.363589532,29.8090522,-28.44546266,15210000,
1968-09-26,102.589996,103.629997,101.589996,102.360001,-0.22%,5.71%,-0.229995,0,0.229995,0.282503881,0.060156718,4.696131885,82.44422671,101.4766662,100.145384,1.331282128,29.90432263,-28.5730405,18950000,
1968-09-27,102.360001,103.07,101.360001,102.309998,-0.05%,5.34%,-0.050003,0,0.050003,0.262325033,0.059431452,4.413909169,81.52905842,101.5691663,100.2907686,1.278397635,30.02781793,-28.74942029,13860000,
1968-09-30,102.309998,103.290001,101.709999,102.669998,0.35%,4.80%,0.36,0.36,0,0.208571714,0.070714571,2.949487073,74.68025641,101.6891658,100.4676916,1.221474218,30.05893371,-28.83745949,13610000,
1968-10-01,102.669998,103.580002,101.800003,102.860001,0.18%,4.59%,0.190003,0.190003,0,0.207245378,0.065663531,3.156171708,75.93939639,101.8666657,100.6284609,1.238204782,30.06647551,-28.82827073,15560000,
1968-10-03,102.860001,104.129997,102.339996,103.220001,0.35%,4.67%,0.36,0.36,0,0.218156422,0.060973278,3.577902118,78.15593313,102.091666,100.7907686,1.300897385,30.08912651,-28.78822912,21110000,
1968-10-04,103.220001,104.349998,102.650002,103.709999,0.47%,3.86%,0.489998,0.489998,0,0.237573678,0.056618044,4.196077076,80.75471196,102.3291658,100.9734609,1.35570491,30.14337052,-28.78766561,15350000,
1968-10-07,103.709999,104.400002,102.93,103.699997,-0.01%,3.52%,-0.010002,0,0.010002,0.247857143,0.020714286,11.96551724,92.28723404,102.5341658,101.1657686,1.368397135,30.34946192,-28.98106479,12420000,
1968-10-08,103.699997,104.449997,102.839996,103.739998,0.04%,3.56%,0.040001,0.040001,0,0.233010276,0.019234694,12.11406207,92.37459763,102.7208323,101.3599992,1.360833019,30.4902608,-29.12942778,14000000,
1968-10-10,103.739998,104.300003,102.610001,103.290001,-0.43%,4.36%,-0.449997,0,0.449997,0.216366684,0.05000343,4.327036851,81.22783776,102.8624993,101.5273069,1.335192449,30.45125988,-29.11606743,17000000,
1968-10-11,103.290001,103.900002,102.389999,103.18,-0.11%,4.44%,-0.110001,0,0.110001,0.200911921,0.054288971,3.700787075,78.7269667,102.9891657,101.6953839,1.293781782,30.44299909,-29.14921731,12650000,
1968-10-14,103.18,104.029999,102.480003,103.32,0.14%,4.44%,0.14,0.14,0,0.184285857,0.060714143,3.035303612,75.2187172,103.0791658,101.8715378,1.207628026,30.41340206,-29.20577403,11980000,
1968-10-15,103.32,104.25,102.660004,103.529999,0.20%,4.45%,0.209999,0.209999,0,0.18612251,0.056377418,3.30136632,76.75157321,103.1574994,102.0511531,1.106346301,30.46364183,-29.35729553,13410000,
1968-10-17,103.809998,105.010002,103.809998,104.010002,0.46%,4.27%,0.480003,0.480003,0,0.207113974,0.05235046,3.95629712,79.82364705,103.2949995,102.2315378,1.063461692,30.54276291,-29.47930122,21060000,
1968-10-18,104.010002,105.339996,103.540001,104.82,0.78%,5.03%,0.809998,0.809998,0,0.250177118,0.048611141,5.146497522,83.73057182,103.5041663,102.4161533,1.088013026,30.64956402,-29.561551,15130000,
1968-10-21,104.82,105.779999,104.089996,104.989998,0.16%,4.72%,0.169998,0.169998,0,0.232142857,0.044285929,5.24191012,83.97926307,103.6974997,102.5796148,1.117884821,30.71481892,-29.59693409,14380000,
1968-10-22,104.989998,105.480003,103.839996,104.57,-0.40%,5.26%,-0.419998,0,0.419998,0.215561224,0.071122505,3.030844093,75.19130046,103.8399996,102.7092303,1.130769237,30.52236327,-29.39159404,13970000,
1968-10-24,104.57,105.150002,103.150002,103.839996,-0.70%,6.29%,-0.730004,0,0.730004,0.200163994,0.118185469,1.693643016,62.87555574,103.8916658,102.8096147,1.082051141,30.20209233,-29.12004119,18300000,
1968-10-25,103.839996,104.809998,103.139999,104.199997,0.35%,6.38%,0.360001,0.360001,0,0.211580923,0.10974365,1.927955955,65.84648077,103.932499,102.943076,0.989423,30.08305458,-29.09363158,14150000,
1968-10-28,104.199997,104.889999,103.160004,103.900002,-0.29%,6.46%,-0.299995,0,0.299995,0.192857,0.1442855,1.336634658,57.20340805,103.9491661,103.0730762,0.876089891,29.90230711,-29.02621722,11740000,
1968-10-29,103.900002,104.5,102.650002,103.300003,-0.58%,6.65%,-0.599999,0,0.599999,0.1790815,0.176836464,1.012695547,50.31538668,103.9124998,103.1669224,0.74557741,29.68492747,-28.93935005,12340000,
1968-10-31,103.300003,104.57,102.43,103.410004,0.11%,6.68%,0.110001,0.110001,0,0.174147179,0.164205288,1.060545494,51.46916179,103.9225001,103.2503842,0.672115891,29.46102939,-28.7889135,17650000,
1968-11-01,103.410004,104.300003,102.360001,103.059998,-0.34%,6.80%,-0.350006,0,0.350006,0.161708094,0.177476768,0.911150775,47.67550456,103.9124999,103.3103841,0.602115801,29.15529245,-28.55317665,14480000,
1968-11-04,103.059998,103.690002,101.849998,103.099998,0.04%,6.57%,0.04,0.04,0,0.165714286,0.179285929,0.924301684,48.03309646,103.8941664,103.3684611,0.525705301,28.79336615,-28.26766085,10930000,
1968-11-06,103.099998,104.410004,102.449997,103.269997,0.16%,6.60%,0.169999,0.169999,0,0.166020337,0.166479791,0.997240181,49.93090919,103.8724996,103.4303839,0.44211566,28.45500579,-28.01289013,12640000,
